ID	Choice	Distance	School_location	Grade	Age	Gender	CarAvail	Season	CB_location	Leistung
4212	3	2.69226	0	9	15	1	0	0	0	420.73
4214	2	1.54981	0	9	14	1	0	0	0	185.34
4215	1	0.939634	0	9	14	1	0	0	0	86.69
4216	3	4.05833	0	9	15	0	0	0	0	259.30
4217	2	3.78659	0	9	15	0	0	0	0	123.27
4219	1	0.573784	0	9	14	0	0	0	0	103.17
4220	3	1.71501	0	9	15	0	0	0	0	396.34
4222	3	4.32822	0	9	14	0	0	0	0	208.42
4224	1	1.01353	0	12	17	0	1	0	0	722.19
4225	2	2.08081	0	12	18	0	0	0	0	755.18
4226	2	1.61743	0	12	17	1	0	0	0	446.15
4227	2	1.54281	0	12	18	0	0	0	0	475.53
4228	2	1.4916	0	12	18	0	0	0	0	546.12
4229	2	1.59657	0	12	18	0	0	0	0	430.09
4230	1	0.123791	0	12	17	1	0	0	0	39.07
4233	2	2.75905	0	12	18	0	0	0	0	289.35
4235	4	6.21695	0	11	18	1	1	0	0	1737.69
4236	3	2.92019	0	11	16	1	0	0	0	548.71
4237	4	6.21695	0	11	16	1	1	0	0	1723.36
4238	3	9.68679	0	11	17	1	0	0	0	198.66
4239	2	2.75905	0	11	16	1	0	0	0	243.53
4240	3	5.37125	0	11	17	1	0	0	0	595.98
4241	1	1.23043	0	11	18	1	0	0	0	520.22
4242	3	1.50791	0	7	13	1	0	0	0	130.48
4243	3	1.59657	0	7	13	0	0	0	0	326.47
4244	3	5.84641	0	7	12	0	0	0	0	1259.22
4245	1	1.02378	0	10	16	0	0	0	0	66.09
4248	3	3.60486	0	10	16	1	1	0	0	320.38
4249	3	3.62243	0	10	15	1	0	0	0	561.53
4250	1	1.12942	0	10	15	1	0	0	0	482.60
4251	3	1.75616	0	10	16	0	0	0	0	646.44
4252	3	5.29046	0	10	15	0	0	0	0	405.31
4253	1	1.12765	0	10	15	1	0	0	0	530.99
4254	3	1.71501	0	10	16	0	0	0	0	417.07
4255	3	1.8357	0	7	13	0	0	0	0	188.17
4256	1	1.66861	0	7	12	1	0	0	0	303.49
4257	1	1.01353	0	7	13	1	0	0	0	573.89
4258	1	0.774114	0	7	13	1	0	0	0	319.67
4259	3	1.59657	0	9	15	1	0	0	0	354.20
4261	1	0.664209	0	9	14	1	0	0	0	127.33
4262	3	1.65288	0	9	15	0	0	0	0	453.96
4263	3	2.75905	0	9	15	1	0	0	0	239.36
4264	3	2.19804	0	7	14	0	0	0	0	388.91
4265	2	1.39485	0	7	13	0	0	0	0	71.05
4267	3	1.25182	0	11	17	1	0	0	0	670.79
4270	3	5.95144	0	11	17	1	0	0	0	431.59
4271	2	1.51703	0	11	17	1	0	0	0	40.46
4272	3	6.90527	0	11	16	1	0	0	1	447.93
4273	3	1.71501	0	6	12	1	0	0	0	314.95
4276	3	3.82856	0	12	18	1	0	0	0	27.96
4277	3	1.23304	0	12	17	1	0	0	0	580.19
4278	2	1.51703	0	12	18	0	0	0	0	46.02
4282	3	2.63774	0	8	13	0	0	0	0	456.69
4284	3	4.17114	0	8	14	1	0	0	0	363.64
4285	2	1.2373	0	8	13	1	0	0	0	234.55
4286	3	3.13805	0	8	14	0	0	0	0	487.20
4288	1	0.664209	0	11	17	0	0	0	0	151.08
4290	2	3.35456	0	11	17	1	0	0	0	164.60
4291	1	0.907095	0	11	18	0	0	0	0	66.99
4292	1	0.954451	0	11	17	0	0	0	0	85.67
4293	4	1.34416	0	11	17	1	1	0	0	822.58
4294	3	2.51171	0	11	16	0	0	0	0	1403.05
4297	1	1.04619	0	9	14	1	0	0	0	208.43
4298	3	4.76495	0	6	11	1	0	0	0	352.44
4299	3	5.48789	0	6	12	0	0	0	0	17.43
4300	4	2.53882	0	6	12	0	1	0	0	882.51
4301	1	1.66861	0	6	11	1	0	0	0	273.50
4302	2	1.16025	0	6	11	0	0	0	0	82.72
4303	2	1.38585	0	12	18	0	0	0	0	147.59
4305	3	4.5745	0	5	11	0	0	0	0	238.65
4306	1	0.939634	0	5	10	1	0	0	0	64.10
4308	3	3.05253	0	12	18	1	0	0	0	535.76
4309	3	2.54176	0	12	19	0	0	0	0	356.59
4310	3	16.9247	0	10	15	1	0	0	0	346.31
4311	3	3.15291	0	10	16	0	0	0	0	573.82
4312	3	3.61898	0	10	15	1	0	0	0	264.78
4313	3	4.5589	0	10	16	1	0	0	0	405.64
4316	3	3.13805	0	9	14	1	0	0	0	463.89
4318	4	4.61185	0	7	12	1	1	0	0	123.13
4320	3	5.69816	0	7	13	1	0	0	0	1444.51
4321	2	1.51703	0	7	13	0	0	0	0	37.38
4322	3	2.99039	0	12	17	0	0	0	0	1433.44
4323	2	1.37991	0	12	17	1	0	0	0	222.36
4324	1	0.939634	0	12	17	1	0	0	0	91.49
4326	1	0.51697	0	12	18	1	0	0	0	102.44
4327	3	2.54176	0	12	17	1	0	0	0	301.70
4328	1	0.664209	0	8	14	1	0	0	0	127.33
4330	3	5.42442	0	8	14	1	0	0	0	361.23
4331	3	2.44948	0	9	14	1	0	0	0	104.42
4332	3	5.17133	0	9	15	1	0	0	0	155.77
4333	1	1.38585	0	9	14	1	0	0	0	101.22
4334	3	3.20923	0	9	14	0	0	0	0	612.51
4338	3	3.35456	0	9	15	1	0	0	0	160.70
4339	3	2.53882	0	9	15	0	0	0	0	1170.09
4340	3	6.95642	0	9	14	0	0	0	0	446.33
4341	3	2.19254	0	10	16	1	0	0	0	834.01
4343	2	1.4916	0	10	15	0	0	0	0	489.40
4344	3	3.77649	0	10	17	0	0	0	0	557.80
4345	3	3.77649	0	10	17	0	0	0	0	557.80
4346	3	3.77649	0	10	17	0	0	0	0	557.80
4349	3	2.14175	0	8	14	0	0	0	0	329.16
4351	4	1.65288	0	8	13	0	1	0	0	383.75
4352	2	1.54281	0	11	17	1	0	0	0	400.88
4354	4	1.59657	0	11	13	0	1	0	0	326.47
4357	3	6.62778	0	8	13	0	0	0	0	393.98
4358	3	4.53879	0	8	14	0	0	0	0	99.97
4360	4	1.75616	0	8	13	0	1	0	0	517.56
4361	1	2.40683	0	8	14	1	0	0	0	1064.47
4365	1	1.12765	0	8	13	0	0	0	0	489.74
4366	3	1.30388	0	8	14	1	0	0	0	572.12
4367	3	5.69816	0	8	14	0	0	0	0	1597.58
4368	3	2.16796	0	12	18	1	0	0	0	242.54
4370	3	2.68085	0	12	18	0	0	0	0	258.13
4371	1	1.13372	0	12	19	1	0	0	0	69.43
4372	1	1.13372	0	12	17	1	0	0	0	69.43
4373	4	2.42	0	12	18	1	1	0	0	592.04
4377	3	2.26068	0	11	16	1	0	0	0	20.30
4379	4	2.4534	0	11	16	0	0	0	0	1176.04
4381	2	1.51703	0	11	16	1	0	0	0	40.22
4382	3	5.29046	0	11	17	0	0	0	0	431.57
4383	4	6.85019	0	11	16	1	0	0	0	2015.57
4384	1	1.4916	0	11	16	0	0	0	0	514.95
4385	2	1.32433	0	10	15	0	0	0	0	56.63
4387	1	1.24759	0	10	16	0	0	0	0	656.71
4388	1	1.24759	0	10	16	0	0	0	0	656.71
4389	4	4.58666	0	10	16	1	1	0	0	405.45
4392	3	1.30388	0	10	15	1	0	0	0	589.97
4393	2	1.51703	0	11	17	0	0	0	0	44.44
4394	1	1.16025	0	11	17	0	0	0	0	122.56
4396	2	1.68831	0	11	16	1	0	0	0	249.90
4397	3	5.63528	0	11	17	0	0	0	0	1893.02
4398	2	1.30388	0	11	17	0	0	0	0	684.94
4399	4	6.85019	0	11	17	0	1	0	0	2307.68
4400	1	0.664209	0	11	17	1	1	0	0	134.34
4401	1	1.01353	0	11	17	1	1	0	0	638.18
4402	1	1.01353	0	11	17	1	0	0	0	638.18
4403	3	6.85019	0	11	18	0	0	0	0	2417.22
4404	1	1.12765	0	9	15	1	0	0	0	530.99
4405	3	0.935984	0	9	14	1	0	0	0	153.49
4407	1	0.939634	0	9	14	1	0	0	0	86.69
4408	1	0.664209	0	9	14	0	1	0	0	133.31
4409	4	2.42	0	9	14	0	1	0	0	587.24
4410	4	1.68259	0	9	14	0	1	0	0	652.09
4413	2	1.23043	0	10	15	1	0	0	0	506.76
4415	2	4.53879	0	10	15	0	0	0	0	105.69
4416	2	1.30388	0	10	15	0	0	0	0	642.73
4417	2	1.51703	0	10	15	1	0	0	0	39.69
4418	4	1.4954	0	10	15	1	1	0	0	246.81
4421	2	2.19254	0	10	16	1	0	0	0	834.01
4425	3	3.49794	0	9	14	0	0	0	0	262.23
4428	3	2.86083	0	12	17	0	0	0	0	678.02
4429	3	2.91337	0	12	17	1	0	0	0	239.75
4430	2	1.71501	0	12	17	1	0	0	0	373.09
4431	2	1.54281	0	12	19	0	0	0	0	475.53
4432	3	5.22634	0	12	19	0	0	0	0	816.36
4433	3	3.45478	0	12	18	0	0	0	0	102.90
